Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
172.30.1.12,172.217.25.174,17,52738,443,0.0257742404937744,2023-04-30 20:00:48,0,1,0,0,0,0,0,0,0,120,2327.9056472873594,38.798427454789326,60,60,60.0,0.0,0.0257742404937744,2
172.217.25.174,172.30.1.12,17,443,52738,0.2184076309204101,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,528,1208.748974966924,4.578594602147438,264,264,264.0,0.0,0.2184076309204101,0
172.217.25.174,172.30.1.12,17,443,52738,0.001990795135498,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,106,26622.528383233534,502.31185628742514,53,53,53.0,0.0,0.001990795135498,0
172.30.1.12,172.217.25.174,17,52738,443,0.0129475593566894,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,126,4865.781902552204,77.23463337384452,63,63,63.0,0.0,0.0129475593566894,2
172.30.1.12,172.217.25.174,17,52738,443,0.1869816780090332,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,2548,6813.501801703011,5.348117583754326,1274,1274,1274.0,0.0,0.1869816780090332,1
172.217.25.174,172.30.1.12,17,443,52738,0.2070910930633545,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,110,265.58360954314,4.828792900784363,55,55,55.0,0.0,0.2070910930633545,0
172.30.1.12,172.217.25.174,17,52738,443,0.0300004482269287,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,118,1966.6372833403532,33.33283531085345,59,59,59.0,0.0,0.0300004482269287,2
172.30.1.12,52.114.40.83,6,65030,443,0.0,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,80,0.0,0.0,40,40,40.0,0.0,0.0,2
52.114.40.83,172.30.1.12,6,443,65030,0.1270828247070312,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,80,314.7553581077025,7.868883952692562,40,40,40.0,0.0,0.1270828247070312,0
172.217.25.174,172.30.1.12,17,443,52738,0.2493269443511963,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,300,601.6196941342745,4.010797960895164,150,150,150.0,0.0,0.2493269443511963,0
172.30.1.12,172.217.25.174,17,52738,443,0.0355031490325927,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,126,1774.4904808912706,28.166515569702707,63,63,63.0,0.0,0.0355031490325927,2
172.217.25.174,172.30.1.12,17,443,52738,0.001993179321289,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,426,106864.44401913875,501.711004784689,213,213,213.0,0.0,0.001993179321289,0
172.217.25.174,172.30.1.12,17,443,52738,0.0284440517425537,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,104,1828.1502393066396,35.15673537128153,52,52,52.0,0.0,0.0284440517425537,0
142.250.76.142,172.30.1.12,17,443,56025,1.89526629447937,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,110,29.019668718958837,0.5276303403447061,55,55,55.0,0.0,1.89526629447937,0
172.30.1.12,142.250.76.142,17,56025,443,0.056368350982666,2023-04-30 20:00:49,0,1,0,0,0,0,0,0,0,120,1064.4270934668775,17.74045155778129,60,60,60.0,0.0,0.056368350982666,2
142.250.76.142,172.30.1.12,17,443,56025,0.1663007736206054,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,556,1671.6699143818923,6.013201130870116,278,278,278.0,0.0,0.1663007736206054,0
142.250.76.142,172.30.1.12,17,443,56025,0.0009999275207519,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,810,405029.356223176,1000.072484501669,405,405,405.0,0.0,0.0009999275207519,0
172.30.1.12,142.250.76.142,17,56025,443,0.2240655422210693,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,126,281.1677305466381,4.462979849946637,63,63,63.0,0.0,0.2240655422210693,2
142.250.76.142,172.30.1.12,17,443,56025,0.0310149192810058,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,576,9285.853604538535,32.24254723798103,288,288,288.0,0.0,0.0310149192810058,0
172.30.1.12,142.250.76.142,17,56025,443,0.0320000648498535,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,118,1843.7462635414029,31.249936670193268,59,59,59.0,0.0,0.0320000648498535,2
142.250.76.142,172.30.1.12,17,443,56025,0.0724396705627441,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,110,759.2524865551584,13.804590664639244,55,55,55.0,0.0,0.0724396705627441,0
172.30.1.12,142.250.76.142,17,56025,443,0.0998713970184326,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,120,600.7726114908174,10.01287685818029,60,60,60.0,0.0,0.0998713970184326,2
172.30.1.12,142.250.76.142,17,56025,443,0.1451766490936279,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,114,392.6251250174491,6.888160088025423,57,57,57.0,0.0,0.1451766490936279,2
142.250.76.142,172.30.1.12,17,443,56025,0.20113205909729,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,104,258.5366064136348,4.971857815646822,52,52,52.0,0.0,0.20113205909729,0
162.159.134.234,172.30.1.12,6,443,64844,0.2013661861419677,2023-04-30 20:00:50,0,1,0,0,0,0,0,0,0,146,362.5236262285532,4.966077071624017,73,73,73.0,0.0,0.2013661861419677,0
