Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
172.217.25.174,172.30.1.12,17,443,52738,0.249326944,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,300,601.6196941,4.010797961,150,150,150,0,0.249326944,0
172.30.1.12,172.217.25.174,17,52738,443,0.035503149,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,1774.490481,28.16651557,63,63,63,0,0.035503149,2
172.217.25.174,172.30.1.12,17,443,52738,0.001993179,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,426,106864.444,501.7110048,213,213,213,0,0.001993179,0
172.217.25.174,172.30.1.12,17,443,52738,0.028444052,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,104,1828.150239,35.15673537,52,52,52,0,0.028444052,0
142.250.76.142,172.30.1.12,17,443,56025,1.895266294,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,110,29.01966872,0.52763034,55,55,55,0,1.895266294,0
172.30.1.12,142.250.76.142,17,56025,443,0.056368351,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,120,1064.427093,17.74045156,60,60,60,0,0.056368351,2
142.250.76.142,172.30.1.12,17,443,56025,0.166300774,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,556,1671.669914,6.013201131,278,278,278,0,0.166300774,0
142.250.76.142,172.30.1.12,17,443,56025,0.000999928,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,810,405029.3562,1000.072485,405,405,405,0,0.000999928,0
172.30.1.12,142.250.76.142,17,56025,443,0.224065542,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,281.1677305,4.46297985,63,63,63,0,0.224065542,2
142.250.76.142,172.30.1.12,17,443,56025,0.031014919,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,576,9285.853605,32.24254724,288,288,288,0,0.031014919,0
172.30.1.12,142.250.76.142,17,56025,443,0.032000065,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,1843.746264,31.24993667,59,59,59,0,0.032000065,2
142.250.76.142,172.30.1.12,17,443,56025,0.072439671,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,110,759.2524866,13.80459066,55,55,55,0,0.072439671,0
172.30.1.12,142.250.76.142,17,56025,443,0.099871397,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,120,600.7726115,10.01287686,60,60,60,0,0.099871397,2
172.30.1.12,142.250.76.142,17,56025,443,0.145176649,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,114,392.625125,6.888160088,57,57,57,0,0.145176649,2
142.250.76.142,172.30.1.12,17,443,56025,0.201132059,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,104,258.5366064,4.971857816,52,52,52,0,0.201132059,0
162.159.134.234,172.30.1.12,6,443,64844,0.201366186,2023-04-30 20:00,0,1,0,0,1,0,1,0,0,146,362.5236262,4.966077072,73,73,73,0,0.201366186,0
172.30.1.45,239.255.255.250,17,57855,1900,0.309670687,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,306,494.0732415,3.229236873,153,153,153,0,0.309670687,0
172.30.1.12,162.159.134.234,6,64844,443,0.257338762,2023-04-30 20:00,0,1,0,0,1,0,1,0,0,80,155.4371353,3.885928381,40,40,40,0,0.257338762,2
172.30.1.12,142.250.76.142,17,56025,443,0.004263639,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,126,14776.10871,234.541408,63,63,63,0,0.004263639,2
142.250.76.142,172.30.1.12,17,443,56025,0.005993128,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,2548,212576.8109,166.8577794,1274,1274,1274,0,0.005993128,0
142.250.76.142,172.30.1.12,17,443,56025,0.004052639,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,124,15298.67326,246.7527944,62,62,62,0,0.004052639,0
172.30.1.12,142.250.76.142,17,56025,443,0.006016493,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,118,9806.377492,166.209788,59,59,59,0,0.006016493,2
142.250.76.142,172.30.1.12,17,443,56025,0.005951166,2023-04-30 20:00,0,1,0,0,0,0,0,0,0,102,8569.748968,168.0342935,51,51,51,0,0.005951166,0
