Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0118007659912109,0
10.50.211.217,27.0.236.54,6,55620,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0150601863861083,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0200660228729248,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,298,0.0193712711334228,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0021870136260986,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0010054111480712,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,1245,0.0020711421966552,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0010018348693847,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0009958744049072,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0009970664978027,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,1245,0.0012898445129394,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.016740083694458,0
10.50.211.217,27.0.236.54,6,55622,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0397536754608154,0
10.50.211.217,27.0.236.54,6,55623,443,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,187,0.0398287773132324,0
10.50.211.217,27.0.236.54,6,55620,443,2023-05-30 13:59:46,1,1,0,0,1,0,0,0,1,40,0.0023200511932373,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0020856857299804,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0009965896606445,0
27.0.236.54,10.50.211.217,6,443,55622,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,144,0.0014429092407226,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0011398792266845,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0009965896606445,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,1,1,0,0,1,0,0,0,1,40,0.0010321140289306,0
10.50.211.217,27.0.236.54,6,55622,443,2023-05-30 13:59:46,1,1,0,0,1,0,0,0,1,40,0.0020294189453125,0
27.0.236.54,10.50.211.217,6,443,55620,2023-05-30 13:59:46,1,1,0,0,1,0,0,0,1,40,0.0938587188720703,0
27.0.236.54,10.50.211.217,6,443,55621,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,1469,0.0231940746307373,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,1500,0.0070414543151855,0
27.0.236.54,10.50.211.217,6,443,55623,2023-05-30 13:59:46,0,1,0,1,1,0,0,0,1,722,0.0009970664978027,0
10.50.211.217,27.0.236.54,6,55623,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0120027065277099,0
10.50.211.217,27.0.236.54,6,55621,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0019919872283935,0
10.50.211.217,27.0.236.54,6,55623,443,2023-05-30 13:59:46,0,1,0,0,1,0,0,0,1,40,0.0044896602630615,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 13:59:48,0,1,0,0,1,0,0,0,1,40,0.0784339904785156,0
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 13:59:50,0,1,0,0,1,0,0,0,1,40,5.1352386474609375,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 13:59:50,0,1,0,0,1,0,0,0,1,40,5.12494969367981,0
10.50.211.217,170.114.15.96,6,54900,443,2023-05-30 13:59:54,0,0,0,1,1,0,0,0,0,257,1.2070305347442627,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 13:59:54,0,1,0,1,1,0,0,0,1,150,5.595574617385864,0
170.114.15.96,10.50.211.217,6,443,54900,2023-05-30 13:59:54,0,1,0,0,1,0,0,0,1,40,1.0544991493225098,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 13:59:57,0,1,0,0,1,0,0,0,1,40,3.540917158126831,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 13:59:58,0,1,0,1,1,0,0,0,1,313,0.4608874320983886,0
170.114.52.5,10.50.211.217,6,443,55337,2023-05-30 14:00:00,0,1,0,0,1,0,0,0,1,40,5.059717178344727,0
10.50.211.217,170.114.52.5,6,55337,443,2023-05-30 14:00:00,0,1,0,0,1,0,0,0,1,40,5.118597984313965,0
10.50.211.217,35.174.127.31,6,55375,443,2023-05-30 14:00:00,0,1,0,1,1,0,0,0,1,287,16.514018535614014,0
35.174.127.31,10.50.211.217,6,443,55375,2023-05-30 14:00:00,0,1,0,1,1,0,0,0,1,308,16.80324649810791,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 14:00:03,0,1,0,0,1,0,0,0,1,40,4.762013673782349,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 14:00:04,0,1,0,1,1,0,0,0,1,150,1.7012367248535156,0
10.50.211.217,20.42.65.90,6,55624,443,2023-05-30 14:00:08,0,1,0,0,1,0,0,0,1,40,0.1921851634979248,0
20.42.65.90,10.50.211.217,6,443,55624,2023-05-30 14:00:08,0,1,0,0,1,0,0,0,1,1500,0.20363450050354,0
20.42.65.90,10.50.211.217,6,443,55624,2023-05-30 14:00:08,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,20.42.65.90,6,55624,443,2023-05-30 14:00:08,0,1,0,0,1,0,0,0,1,40,0.1683559417724609,0
20.42.65.90,10.50.211.217,6,443,55624,2023-05-30 14:00:09,0,1,0,1,1,0,0,0,1,91,0.2346611022949218,0
10.50.211.217,20.42.65.90,6,55624,443,2023-05-30 14:00:09,0,1,0,1,1,0,0,0,1,0,0.2340598106384277,0
20.42.65.90,10.50.211.217,6,443,55624,2023-05-30 14:00:09,0,1,0,1,1,0,0,0,1,494,0.0544784069061279,0
