Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,IAT,labels
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,1972,0.0,0.0,986,986,986.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,2030,112.77777777777776,0.1111111111111111,1015,1015,1015.0,0.0,,0.0099153518676757,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,2184,0.0,0.0,1092,1092,1092.0,0.0,,0.0,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,404,4.391304347826087,0.0217391304347826,202,202,202.0,0.0,,0.0461194515228271,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,384,0.0,0.0,192,192,192.0,0.0,,0.0,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,2324,23.24,0.02,1162,1162,1162.0,0.0,,0.0502524375915527,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,402,5.583333333333333,0.0277777777777777,201,201,201.0,0.0,,0.036210298538208,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:19,0,1,0,0,0,0,0,0,0,164,1.025,0.0125,82,82,82.0,0.0,,0.0802443027496337,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,374,8.904761904761905,0.0476190476190476,187,187,187.0,0.0,,0.0210700035095214,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:19,0,0,0,0,0,0,0,0,0,1958,163.16666666666666,0.1666666666666666,979,979,979.0,0.0,,0.0060546398162841,0
